time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,p_term_nm,i_term_nm,d_term_nm,integral,steering_deg
2.460,8.000,8.370,-0.370,14.876,-55.500,70.376,0.000,3.519,0.00
2.470,8.000,8.370,-0.370,14.802,-55.500,70.302,0.000,3.515,0.00
2.480,8.000,8.370,-0.370,14.728,-55.500,70.228,0.000,3.511,0.00
2.490,8.000,8.380,-0.380,3.152,-57.000,70.152,-10.000,3.508,0.00
2.500,8.000,8.380,-0.380,13.076,-57.000,70.076,0.000,3.504,0.00
2.510,8.000,8.380,-0.380,13.000,-57.000,70.000,0.000,3.500,0.00
2.520,8.000,8.380,-0.380,12.924,-57.000,69.924,0.000,3.496,0.00
2.530,8.000,8.380,-0.380,12.848,-57.000,69.848,0.000,3.492,0.00
2.540,8.000,8.380,-0.380,12.772,-57.000,69.772,0.000,3.489,0.00
2.550,8.000,8.380,-0.380,12.696,-57.000,69.696,0.000,3.485,0.00
2.560,8.000,8.380,-0.380,12.620,-57.000,69.620,0.000,3.481,0.00
2.570,8.000,8.380,-0.380,12.544,-57.000,69.544,0.000,3.477,0.00
2.580,8.000,8.390,-0.390,0.966,-58.500,69.466,-10.000,3.473,0.00
2.590,8.000,8.390,-0.390,10.888,-58.500,69.388,0.000,3.469,0.00
2.600,8.000,8.390,-0.390,10.810,-58.500,69.310,0.000,3.466,0.00
2.610,8.000,8.390,-0.390,10.732,-58.500,69.232,0.000,3.462,0.00
2.620,8.000,8.390,-0.390,10.654,-58.500,69.154,0.000,3.458,0.00
2.630,8.000,8.390,-0.390,10.576,-58.500,69.076,0.000,3.454,0.00
2.640,8.000,8.390,-0.390,10.498,-58.500,68.998,0.000,3.450,0.00
2.650,8.000,8.390,-0.390,10.420,-58.500,68.920,0.000,3.446,0.00
2.660,8.000,8.390,-0.390,10.342,-58.500,68.842,0.000,3.442,0.00
2.670,8.000,8.400,-0.400,-1.238,-60.000,68.762,-10.000,3.438,0.00
2.680,8.000,8.400,-0.400,8.682,-60.000,68.682,0.000,3.434,0.00
2.690,8.000,8.400,-0.400,8.602,-60.000,68.602,0.000,3.430,0.00
2.700,8.000,8.400,-0.400,8.522,-60.000,68.522,0.000,3.426,0.00
2.710,8.000,8.400,-0.400,8.442,-60.000,68.442,0.000,3.422,0.00
